Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Gasolina 95 E5;Gasolina 95 E10;Gasolina 95 E5 Premium;Gasolina 98 E5;Gasolina 98 E10;Gasóleo A;Gasóleo Premium;Gasóleo B;Gasóleo C;Bioetanol;Biodiésel;Gases licuados del petróleo;Gas natural comprimido;Gas natural licuado;Hidrógeno;Gasóleo de uso marítimo;Rótulo;Tipo;Horario
BARCELONA;MATARÓ;MATARO;08301; ALFONSO X EL SABIO, S/N, ;D;2,449306;41,545472;02/11/2023 15:25;1,679;;;1,809;;1,509;;;;;;;;;;;Q8;;L-D: 24H
VALENCIA / VALÈNCIA;GANDIA;GRAU I PLATJA;46730; AVENIDA DEL GRAO, 164, ;D;-0,161917;38,989389;02/11/2023 13:59;1,689;;;1,839;;1,669;1,759;;;;;;;;;;MOSCARDÓ;;L-D: 06:00-22:00
CUENCA;ALIAGUILLA;ALIAGUILLA;16313; AVENIDA TEJEDA, 12;D;-1,327639;39,741444;30/10/2023 16:26;1,688;;;;;1,639;;1,229;;;;;;;;;(SIN RÓTULO);;L-D: 24H
GRANADA;PADUL;PADUL;18640; BARRIADA LAS ESPERILLAS, ;N;-3,636056;37,028250;02/11/2023 14:30;1,629;;;1,769;;1,619;1,699;1,379;;;;0,919;;;;;SHELL PADUL;;L-D: 06:00-22:00
GIRONA;MAÇANET DE LA SELVA;MAÇANET DE LA SELVA;17412; C-35  KM.82,5, ;N;2,740917;41,781139;02/11/2023 13:55;1,699;;;1,829;;1,689;1,789;;;;;0,939;1,289;;;;GALP;;L-D: 06:00-22:00
LLEIDA;VALLFOGONA DE BALAGUER;VALLFOGONA DE BALAGUER;25680; C/ TARREGA, 4, ;N;0,826750;41,788139;02/11/2023 10:56;1,499;;;1,799;;1,579;1,619;;;;;;;;;;GADCAR;;L-S: 09:30-21:30
VALENCIA / VALÈNCIA;BUÑOL;BUÑOL;46360; CARR VP-3031, 1, ;D;-0,777972;39,430472;03/11/2023 00:00;1,699;;;1,859;;1,739;1,839;;;;;;;;;;REPSOL;;"L-S: 06:00-22:00; D: 07:00-22:00"
BALEARS (ILLES);SANTA MARGALIDA;CA'N PICAFORT;07458; CARRETERA ARTA-PTO.ALCUDIA,99, ;N;3,152361;39,762000;02/11/2023 09:13;1,729;;;1,889;;1,749;1,839;;;;;;;;;; BP CA SESTRELLA;;L-S: 06:30-21:00
SEVILLA;CANTILLANA;CANTILLANA;41320; CARRETERA ESTACIÓN S/N, ;D;-5,820083;37,605389;03/11/2023 07:08;1,649;;;;;1,709;1,769;1,309;;;;;;;;;REPSOL;;L-D: 06:00-22:00
LEÓN;SAN EMILIANO;SAN EMILIANO;24144; CL  626, ;I;-5,997528;42,946917;01/11/2023 08:00;1,719;;;;;1,629;1,689;;;;;;;;;;LISARMINIA;;L-D: 08:00-20:00
BARCELONA;TERRASSA;TERRASSA;08221; COLOM ESQUINA AV TEXTIL - POL.IND. SANTA MARGARIDA 2, ;N;2,027500;41,545722;02/11/2023 15:25;1,529;;;1,649;;1,534;1,604;;;;;;;;;;Q8;;L-D: 24H
CÁCERES;CUACOS DE YUSTE;CUACOS DE YUSTE;10430; CR C904, KM 19.800, ;D;-5,596611;40,049833;03/11/2023 00:00;1,619;;;;;1,649;1,709;;;;;;;;;;REPSOL;;"L-V: 09:00-20:00; S: 09:00-14:00"
GUADALAJARA;BERNINCHES;BERNINCHES;19133; CTR. N320 PK 239,500, ;I;-2,857028;40,551639;03/11/2023 00:00;1,659;;;1,819;;1,669;1,769;;;;;;;;;;REPSOL;;L-D: 08:00-22:00
BURGOS;VALLE DE VALDEBEZANA;CILLERUELO DE BEZANA;09572; CTRA N-623  BURGOS-SANTANDER  KM 83, ;I;-3,849417;42,970556;31/10/2023 13:37;1,678;;;1,798;;1,619;1,659;;;;;;;;;;AVIA;;L-D: 08:00-20:00
BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO;09200; CTRA NACIONAL 1 KM 318,8, ;I;-2,937500;42,692944;03/11/2023 00:00;1,689;;;1,839;;1,689;1,759;;;;;;;;;;REPSOL;;L-V: 06:00-21:00
CASTELLÓN / CASTELLÓ;BENICARLÓ;BENICARLO;12580; CTRA NACIONAL 340 KM 133 - CENTRO COMERCIAL COSTA AZAHAR, ;N;0,394667;40,410222;02/11/2023 13:32;1,519;;;1,699;;1,469;1,599;;;;;;;;;;FM;;L-D: 24H
MURCIA;JUMILLA;JUMILLA;30520; CTRA. NAL. 344  JUMILLA - YECLA  (ALTIPLANO), ;N;-1,270611;38,560000;30/10/2023 09:16;1,639;;;;;1,519;1,549;1,395;;;;;;;;;RENESUR-EL ALTIPLANO;;L-D: 00:00-23:59
BARCELONA;SITGES;SITGES;08870; EIX 2 PARCELA 12-14 - POL.IND. MAS ALBA, ;N;1,813194;41,249222;02/11/2023 15:25;1,669;;;1,849;;1,559;1,629;;;;;;;;;;Q8;;L-D: 24H
ALICANTE;BENISSA;BENISSA;03720; JUAN DE LA CIERVA,13  POLIGONO INDUSRTIAL LAPEDRERA, ;N;0,076583;38,726750;27/10/2023 12:36;1,729;;;1,889;;1,659;1,759;;;;;1,059;;;;;MEROIL;;L: 07:00-21:00
MURCIA;MOLINA DE SEGURA;MOLINA DE SEGURA;30500; Mª ASCENSIÓN CAMPILLO GARCÍA, ;I;-1,233944;38,085444;02/11/2023 12:31;1,499;;;1,699;;1,519;1,549;1,299;;;;0,905;;;;;GLOBAL TANK LA SERRETA;;L-D: 24H
